sn,food_name,edible_portion,moisture,protein,fat,carbs,minerals,fiber,calories,calcium,phosphorus,iron,carotene,vitamin_c,thiamine,riboflavin,niacin,cluster_id,breakfast,lunch,dinner,food_name_clean
171,Double bean,,73.8,8.3,0.3,12.3,1.0,4.3,85.0,40.0,140.0,2.3,,22.0,,,,0,0,1,1,double bean
172,Drumstick flower,,85.9,3.6,0.8,7.1,1.3,1.3,50.0,51.0,90.0,,,,,,,0,0,1,1,drumstick flower
173,Drumstick,83.0,86.9,2.5,0.1,3.7,2.0,4.8,26.0,30.0,110.0,0.18,110.0,120.0,0.05,0.07,0.2,0,0,0,1,drumstick
174,French bean,94.0,91.4,1.7,0.1,4.5,0.5,1.8,26.0,50.0,28.0,0.61,132.0,24.0,0.08,0.06,0.3,0,0,1,1,french bean
175,Field bean tender,93.0,86.1,3.8,0.7,6.7,0.9,1.8,48.0,210.0,68.0,0.83,187.0,9.0,0.1,0.06,0.7,0,0,1,1,field bean tender
176,Jack fruit tender,,84.0,2.6,0.3,9.4,0.9,2.8,51.0,30.0,40.0,1.7,0.0,14.0,0.05,0.4,85.0,0,1,0,0,jack fruit tender
177,Knol-knol,74.0,92.7,1.1,0.2,3.8,0.7,1.5,21.0,20.0,35.0,0.4,21.0,85.0,0.05,0.09,0.5,0,0,1,1,knol knol
178,Karonda Fresh,98.0,91.0,1.1,2.9,2.9,0.6,1.5,42.0,21.0,28.0,,,,,,,0,0,1,1,karonda fresh
179,Ladies finger,84.0,89.6,1.9,0.2,6.4,0.7,1.2,35.0,66.0,56.0,0.35,52.0,13.0,0.07,0.1,0.6,0,0,0,1,ladies finger
180,Leeks,,78.9,1.8,0.1,17.2,0.7,1.3,77.0,50.0,70.0,2.3,18.0,11.0,0.23,,,0,0,1,1,leeks
181,"Lakooch, Badher raw",,89.4,1.6,1.2,13.9,1.1,2.8,73.0,67.0,25.0,,,,,,,0,0,1,1,lakooch badher raw
182,"Lotus stem, dry",100.0,9.5,4.1,1.3,51.4,8.7,25.0,234.0,405.0,128.0,60.6,0.0,3.0,0.82,1.21,1.9,3,0,1,1,lotus stem dry
183,Mushroom Botton (Gobre),88.0,88.5,4.6,0.8,4.3,1.4,0.4,43.0,6.0,110.0,1.5,,,,,,0,0,1,0,mushroom botton gobre
184,Mushroom Oyster (Kanne),86.0,88.0,3.0,0.2,5.8,1.3,0.9,37.0,,1.5,,,,,,,0,0,1,0,mushroom oyster kanne
185,"Mushroom, wild , dry",,17.1,16.9,0.9,14.1,17.8,20.8,134.7,,743.0,17.2,,,,,,3,0,1,0,mushroom wild dry
186,Mango green,72.0,87.5,0.7,0.1,10.1,0.4,1.2,44.0,10.0,19.0,6.33,90.0,3.0,0.04,0.01,0.2,0,1,0,0,mango green
187,Onion stalk (Green),100.0,87.6,0.9,0.2,8.9,0.8,1.6,41.0,50.0,50.0,7.43,595.0,17.0,0.0,0.03,0.3,0,0,1,1,onion stalk green
188,Pink beans,94.0,86.8,3.1,0.4,7.0,0.6,2.1,44.0,54.0,70.0,1.5,453.0,12.0,0.06,0.02,0.6,0,0,1,1,pink beans
189,Pumpkin,79.0,92.6,1.4,0.1,4.6,0.6,0.7,25.0,10.0,30.0,0.44,50.0,2.0,,,,0,0,0,1,pumpkin
190,Plantain flower,43.0,89.9,1.7,0.7,5.1,1.3,1.3,34.0,32.0,42.0,1.6,27.0,16.0,0.05,0.02,0.4,0,0,1,1,plantain flower
191,Plantain green,58.0,83.2,1.4,0.2,14.0,0.5,0.7,64.0,10.0,29.0,6.27,30.0,24.0,0.05,0.02,0.3,0,0,1,0,plantain green
192,plantain stem,,88.3,0.5,0.1,90.7,0.6,0.8,42.0,10.0,10.0,1.1,0.0,7.0,0.02,0.01,0.2,4,0,1,1,plantain stem
193,Pumpkin flower,,89.1,2.2,0.8,5.8,1.4,0.7,39.0,120.0,60.0,,,,,,,0,0,1,0,pumpkin flower
194,Parwar,95.0,92.0,2.0,0.3,2.2,0.5,3.0,20.0,30.0,40.0,1.7,153.0,29.0,0.05,0.06,0.5,0,0,1,1,parwar
195,Peas,53.0,72.1,7.2,0.1,15.9,0.8,4.0,93.0,20.0,139.0,1.5,83.0,9.0,0.25,0.01,0.8,0,0,1,0,peas
196,Papaya green,,92.0,0.7,0.2,5.7,0.5,0.9,27.0,28.0,40.0,0.9,0.0,12.0,0.01,0.01,0.1,0,0,1,0,papaya green
197,Ridge gourd,82.0,95.2,0.5,0.1,3.4,0.3,0.5,17.0,18.0,26.0,0.39,33.0,5.0,,0.01,0.2,0,0,0,1,ridge gourd
198,"Rape, stem",,91.4,0.1,1.4,4.0,1.4,1.5,29.0,100.0,100.0,1.2,,,,,,0,0,1,1,rape stem
199,Redgram tender,72.0,65.1,9.8,1.0,16.9,1.0,6.2,116.0,57.0,164.0,1.1,469.0,25.0,0.32,0.33,3.0,0,0,1,0,redgram tender
200,Red beans (Rato Bodi),,88.5,3.1,0.1,5.2,0.6,2.5,34.0,18.1,254.0,4.9,,,,,,0,0,1,1,red beans rato bodi
201,Red bean (Simi),91.0,88.85,3.5,0.1,26.6,1.5,2.7,121.0,33.0,258.0,5.0,,7.8,,,,0,0,1,1,red bean simi
202,Spotted beans (Chirke simi),,70.72,3.34,0.75,21.8,1.24,2.12,107.0,,,,,,,,,0,0,1,1,spotted beans chirke simi
203,Red cowpea,34.0,88.5,3.1,0.1,5.2,0.6,2.5,34.0,18.1,254.0,4.9,,,,,,0,0,1,1,red cowpea
204,Snakegourd,98.0,94.6,0.5,0.3,3.3,0.5,0.8,18.0,26.0,20.0,1.51,96.0,0.0,0.04,0.06,0.3,0,0,0,1,snakegourd
205,Sponge guard,83.0,93.13,1.03,0.11,5.0,0.35,0.39,26.43,28.2,30.07,1.18,,4.55,,,,0,0,1,1,sponge guard
206,Sannhemp flower,,78.9,4.8,0.6,10.4,1.4,3.9,66.0,200.0,100.0,,,,,,,0,0,1,1,sannhemp flower
207,Silkcotton flower,,86.4,1.5,0.3,9.5,0.7,1.6,47.0,22.0,45.0,,,,,,,0,0,1,1,silkcotton flower
208,Spinach stalk,,93.4,0.9,0.1,3.8,1.8,1.5,20.0,90.0,20.0,1.6,,3.0,,,,0,0,1,0,spinach stalk
209,Sword beans,98.0,87.2,2.7,0.2,7.8,0.6,1.5,44.0,60.0,40.0,2.0,12.0,0.08,0.08,0.5,,0,0,1,1,sword beans
210,Soyabean tender,58.0,1.33,14.89,2.92,15.1,2.1,3.68,146.2,89.7,206.7,3.7,,4.55,,,,0,0,1,1,soyabean tender
211,Tomato green,98.0,93.1,1.9,0.1,3.6,0.6,0.7,23.0,20.0,36.0,1.8,192.0,31.0,0.07,0.01,0.4,0,0,1,1,tomato green
212,Tomato red,100.0,93.5,1.3,0.1,3.9,0.7,0.5,21.0,15.0,27.0,0.7,424.0,23.0,,,,0,0,0,1,tomato red
213,Tree tomato,90.0,86.2,1.5,0.2,6.7,1.2,4.2,35.0,12.0,46.0,1.0,324.0,0.0,,,,0,0,1,1,tree tomato
214,Tinda tender,99.0,93.5,1.4,0.2,3.4,0.5,1.0,21.0,25.0,24.0,0.9,13.0,18.0,0.04,0.08,0.3,0,0,1,1,tinda tender
215,Vegetable marrow,94.0,94.8,0.5,0.1,3.5,0.3,0.8,17.0,10.0,30.0,1.35,,18.0,0.02,0.0,0.4,0,0,1,1,vegetable marrow
216,Water chesnut fresh,38.0,70.0,4.7,0.3,23.3,1.1,0.6,115.0,20.0,150.0,0.8,12.0,9.0,0.05,0.07,0.6,0,0,1,1,water chesnut fresh
217,Water chesnut dry,,13.8,13.4,0.8,68.9,3.1,1.5,70.0,440.0,2.4,,,,,,,4,0,1,1,water chesnut dry
218,Water lily flower,,90.8,1.6,0.6,5.4,0.7,0.9,33.0,29.0,18.0,,,,,,,0,0,1,1,water lily flower
219,Winged bean tender,,86.6,2.66,34.0,7.9,0.76,1.79,45.1,26.32,51.1,,,3.37,,,,0,0,1,1,winged bean tender
220,Beet root,85.0,87.7,1.7,0.1,8.8,0.8,0.9,43.0,18.0,55.0,1.19,0.0,10.0,0.04,0.09,0.4,0,0,1,1,beet root
221,Banana rhizome,35.0,85.1,0.4,0.2,11.8,1.4,1.1,51.0,25.0,10.0,1.1,16.0,1.0,0.0,0.03,0.2,0,1,0,0,banana rhizome
222,Colacasia,,73.1,3.0,0.1,21.1,1.7,1.0,97.0,40.0,140.0,0.42,24.0,0.0,0.09,0.03,0.4,0,0,1,1,colacasia
223,Cassava,,62.5,1.2,0.3,34.7,2.41,0.43,146.3,33.0,,0.7,,,,,,0,0,1,1,cassava
224,Carrot,95.0,86.0,0.9,0.2,10.6,1.1,1.2,47.8,80.0,530.0,1.03,4275.0,3.0,0.04,0.02,0.6,0,0,0,1,carrot
225,Cho-cho marrow root,87.0,76.19,1.9,0.1,20.3,0.97,0.7,89.93,52.47,60.46,0.89,0.0,10.02,,,,0,0,1,1,cho cho marrow root
226,Ghar tarul,100.0,58.61,4.0,0.1,32.6,2.06,2.56,147.0,69.8,,24.03,,,,,,0,0,1,1,ghar tarul
227,Garlic dry,85.0,62.0,6.15,0.1,29.8,1.0,0.8,145.0,30.0,310.0,1.3,,13.0,0.06,0.23,0.4,0,0,1,1,garlic dry
228,Gittha,66.0,68.31,3.72,0.9,25.2,0.93,0.91,124.0,12.41,,0.95,0.0,,,,,0,0,1,1,gittha
229,Lotus root,,85.9,1.7,0.1,11.3,0.2,0.8,53.0,21.0,74.0,0.4,,22.0,0.1,,,0,0,1,1,lotus root
230,Mango ginger,87.0,85.0,1.1,0.7,10.5,1.4,1.3,53.0,25.0,90.0,2.6,20.0,1.0,0.01,0.03,0.0,0,1,0,0,mango ginger
231,Onion   (Small),,84.3,1.8,0.1,12.6,0.6,0.6,59.0,40.0,60.0,1.2,15.0,2.0,0.08,0.02,0.5,0,0,1,1,onion small
232,Onion   (Big),95.0,86.6,1.2,0.1,10.4,0.4,1.3,47.0,47.0,50.0,0.6,0.0,11.0,0.08,0.01,0.4,0,0,1,1,onion big
233,Potato,85.0,74.7,1.6,0.1,22.4,0.6,0.6,97.0,10.0,40.0,0.46,0.0,17.0,0.1,0.01,1.2,0,0,0,1,potato
234,Potato( Red),100.0,82.0,1.1,0.52,15.0,0.72,0.25,72.0,5.42,50.1,0.48,,,,,,0,0,1,0,potato red
235,Potato boiled ( without skin),,81.0,1.9,0.1,16.3,0.7,0.4,72.0,7.0,44.0,,11.0,0.06,0.02,1.3,,0,0,1,0,potato boiled without skin
236,Potato chips fried,,4.2,3.6,43.8,45.9,2.5,0.9,562.0,18.0,74.0,1.6,0.0,0.0,,0.02,0.5,5,0,1,0,potato chips fried
237,Rani vyakur,78.0,72.72,2.3,0.2,22.7,1.41,1.1,101.0,24.71,,8.38,,,,,,0,0,1,1,rani vyakur
238,Radish Pink,98.0,90.8,0.6,0.3,6.8,0.9,0.6,32.0,50.0,20.0,0.37,0.0,17.0,0.06,0.02,0.5,0,0,1,0,radish pink
239,Radish white,99.0,94.4,0.7,0.1,22.7,0.6,9.6,101.0,24.7,,0.4,3.0,15.0,0.06,0.02,0.5,0,0,0,1,radish white
240,Radish Rat- tailed,,92.3,1.3,0.03,4.3,0.7,0.4,72.0,7.0,44.0,,11.0,0.06,0.02,1.3,,0,0,1,0,radish rat tailed
241,Sweet Potato( white)),97.0,68.5,1.2,0.3,28.3,1.0,0.7,121.0,46.0,50.0,0.21,6.0,24.0,0.08,0.04,0.7,0,0,1,0,sweet potato white
242,Sweet potato red,93.0,67.6,1.35,0.5,29.1,0.74,1.0,126.0,145.81,33.97,2.21,0.0,2.42,,,,0,0,1,0,sweet potato red
243,Sweet potato boiled,,70.7,1.0,0.1,27.4,0.8,0.8,114.0,36.0,56.0,0.9,0.0,11.0,0.08,0.05,0.4,0,0,1,0,sweet potato boiled
244,Turnip red,60.0,88.9,1.2,0.2,7.7,0.7,1.3,37.0,47.7,35.2,2.3,1.2,,,,,0,0,1,1,turnip red
245,Yam elephant,,78.7,1.2,0.1,18.4,0.8,0.9,79.0,50.0,34.0,0.6,260.0,,0.06,0.07,0.7,0,0,1,1,yam elephant
246,Yam wild,89.0,70.4,2.5,0.3,29.1,1.4,0.8,110.0,20.0,74.0,1.0,97.0,1.0,0.19,0.45,1.2,0,0,1,1,yam wild
247,Gundurk(Mustard),100.0,11.7,4.8,0.9,17.9,,1.5,129.0,2488.0,,94.3,1520.0,,,,,0,0,0,1,gundurk mustard
248,Mulako Sinki,100.0,11.1,12.0,0.7,47.5,13.5,14.92,245.0,,,,,,,,,3,0,1,1,mulako sinki
249,Dried rape leaves,100.0,7.4,27.0,2.9,40.7,15.3,6.7,297.0,3095.0,500.0,,,,,,,1,0,1,1,dried rape leaves
250,Blackgram+Colocosia tuber Maseura,100.0,7.9,19.8,0.7,63.8,4.3,3.5,341.0,17.6,401.0,4.5,,,,,,1,0,1,1,blackgram colocosia tuber maseura
251,Blackgram+Colocosia tuber+Gundruk Maseura,100.0,7.8,25.3,0.7,57.6,4.9,3.7,338.0,33.37,402.0,11.6,,,,,,1,0,1,1,blackgram colocosia tuber gundruk maseura
252,Blackgram+Ashgourd (kubindo) Maseura,100.0,7.1,30.3,1.0,55.5,3.6,2.5,352.0,11.7,487.0,1.9,,,,,,1,0,1,1,blackgram ashgourd kubindo maseura
253,Blackgram+Garlic Maseura,100.0,10.1,22.0,1.2,17.9,3.2,1.2,346.0,11.9,423.0,3.3,,,,,,1,0,1,1,blackgram garlic maseura
254,Blackgram+Cabbage Maseura,100.0,7.3,22.0,0.1,64.4,3.7,2.5,347.0,13.5,407.0,5.0,,,,,,1,0,1,1,blackgram cabbage maseura
255,Blackgram+Gardencress (Chamsur) Maseura,100.0,8.8,26.9,0.1,59.2,2.5,2.5,345.0,17.6,320.0,6.3,,,,,,1,0,1,1,blackgram gardencress chamsur maseura
256,Blackgram+Raddish Maseura,100.0,8.3,24.6,1.9,58.6,3.9,2.7,350.0,13.0,404.0,4.5,,,,,,1,0,1,1,blackgram raddish maseura
257,Blackgram+Cauliflower Maseura,100.0,10.0,24.5,0.6,57.5,4.9,2.5,333.0,8.1,431.0,3.1,,,,,,1,0,1,1,blackgram cauliflower maseura
258,Apple,90.0,84.6,0.2,0.5,13.4,0.3,1.0,59.0,10.0,14.0,0.66,0.0,1.0,,,,0,1,0,0,apple
259,Amala ( big),95.0,86.7,0.0,0.2,13.7,0.4,3.6,54.0,,,,,324.1,,,,0,1,0,0,amala big
260,Amala (small),93.0,80.92,0.0,0.2,17.9,0.6,3.21,58.0,50.0,20.0,1.2,,562.62,0.03,0.01,0.2,0,1,0,0,amala small
261,Apricot fresh,86.0,85.3,1.0,0.3,11.6,0.7,1.1,53.0,20.0,25.0,2.2,2160.0,6.0,0.04,0.3,0.6,0,1,0,0,apricot fresh
262,Apricot dried,93.0,19.4,1.6,0.7,73.4,2.8,2.1,306.0,110.0,70.0,4.6,58.0,2.0,0.22,,2.3,4,1,0,0,apricot dried
263,Avocado,,73.6,1.7,22.8,0.8,1.1,1.5,215.0,10.0,80.0,0.7,,,,,,0,1,0,0,avocado
264,Bael fruit,64.0,61.5,1.8,0.3,31.8,1.7,2.9,137.0,85.0,50.0,0.6,55.0,8.0,0.13,0.03,1.1,0,1,0,0,bael fruit
265,Bael sarbet,,54.5,1.7,0.1,45.2,0.3,1.5,189.0,,,,,,,,,0,1,0,0,bael sarbet
266,Banana ripe,71.0,70.1,1.2,0.3,27.2,0.8,0.4,116.0,17.0,36.0,0.37,78.0,7.0,0.05,0.08,0.5,0,1,0,0,banana ripe
267,Banyan tree figs,,74.1,1.7,2.0,11.8,1.9,8.5,72.0,364.0,43.0,,,,,,,0,1,0,0,banyan tree figs
268,Bamboo fruit,,56.3,3.9,0.1,34.2,1.6,3.9,153.0,10.0,110.0,1.5,11.0,1.0,0.09,0.09,,0,1,0,0,bamboo fruit
269,Cashew fruit,77.0,86.3,0.2,0.1,12.3,0.2,0.9,51.0,10.0,10.0,0.2,23.0,180.0,0.02,0.05,0.4,0,1,0,0,cashew fruit
270,"Dates, dried",86.0,15.3,2.5,0.4,75.8,2.1,3.9,317.0,120.0,50.0,7.3,26.0,3.0,0.01,0.02,0.9,4,1,0,0,dates dried
271,"Dates, Fresh",,59.2,1.2,0.4,33.8,1.7,3.7,144.0,22.0,38.0,0.96,,,,,,0,1,0,0,dates fresh
272,Figs,99.0,88.1,1.3,0.2,7.6,0.6,2.2,37.0,80.0,30.0,1.0,162.0,5.0,0.06,0.05,0.6,0,1,0,0,figs
273,Grape- pale green variety,,79.2,0.5,0.3,16.5,0.6,2.9,71.0,20.0,30.0,0.52,0.0,1.0,,,0.0,0,1,0,0,grape pale green variety
274,Grape-Blue variety,95.0,82.2,0.6,0.4,13.1,0.9,2.8,58.0,20.0,23.0,0.5,3.0,1.0,0.04,0.03,0.2,0,1,0,0,grape blue variety
275,Grapes fruits( Marsh' seedless),,88.5,1.0,0.1,10.0,0.4,1.5,45.0,30.0,30.0,0.2,0.0,,0.12,0.02,0.3,0,0,0,0,grapes fruits marsh seedless
276,Grape fruit( trumph) juice,,92.1,0.7,0.1,7.0,0.2,1.5,32.0,20.0,20.0,0.2,,31.0,0.12,0.02,0.3,0,1,0,0,grape fruit trumph juice
277,"Guava , hill",,85.3,0.1,0.2,9.0,0.6,4.8,38.0,50.0,20.0,1.2,0.0,15.0,0.02,0.02,0.3,0,1,0,0,guava hill
278,"Guava, country",100.0,81.7,0.9,0.3,11.2,0.7,5.2,51.0,10.0,28.0,0.27,0.0,212.0,0.03,0.03,0.4,0,1,0,0,guava country
279,Ground apple,,83.7,1.3,0.2,14.4,0.3,0.1,64.0,,,,,,,,,0,1,0,0,ground apple
280,Jackfruit   ripe seed,30.0,76.2,1.9,0.1,19.8,0.9,0.9,88.0,20.0,41.0,0.56,175.0,7.0,0.03,0.13,0.13,0,1,0,0,jackfruit ripe seed
281,Jambu fruit,75.0,83.7,0.7,0.3,14.0,0.4,0.6,62.0,15.0,15.0,0.43,48.0,18.0,0.03,0.01,0.2,0,1,0,0,jambu fruit
282,Kussum fruit,,86.2,1.5,0.8,9.9,1.0,2.0,53.0,15.0,15.0,,,,,,,0,1,0,0,kussum fruit
283,Lapsi,59.0,79.9,0.5,0.02,17.68,0.5,1.4,73.0,218.0,20.6,2.7,,48.15,,,,0,1,0,0,lapsi
284,Lemon(Nibuwa),,85.0,1.0,0.9,11.1,0.3,0.7,57.0,70.0,10.0,0.26,0.0,39.0,0.02,0.01,0.1,0,1,0,0,lemon nibuwa
285,Lemon sweet,79.0,90.5,0.7,0.3,7.3,0.5,1.5,35.0,30.0,20.0,0.7,0.0,54.0,,0.04,0.0,0,1,0,0,lemon sweet
286,Lemon Juice,,85.0,1.0,0.9,12.8,0.3,1.5,63.0,70.0,10.0,0.3,0.0,39.0,,,,0,1,0,0,lemon juice
287,Lichi,68.0,84.1,1.1,0.2,13.6,0.5,0.5,61.0,10.0,35.0,0.7,0.0,31.0,0.02,0.06,0.4,0,1,0,0,lichi
288,"Lich ,bastard",,83.9,1.4,0.3,13.1,0.8,0.5,61.0,15.0,35.0,,,,,,,0,0,1,1,lich bastard
289,Lime,,44.6,1.5,1.0,10.9,0.7,1.3,59.0,90.0,20.0,0.3,15.0,63.0,0.2,0.03,0.1,0,1,0,0,lime
290,"Lime, sweet, malta",67.0,90.3,0.7,0.2,7.8,0.4,0.6,36.0,30.0,20.0,1.0,0.0,54.0,,,0.0,0,1,0,0,lime sweet malta
291,Lakuch,76.0,82.1,0.7,1.1,3.3,0.8,1.7,66.0,50.0,50.0,0.5,254.0,135.0,0.02,0.15,0.3,0,0,1,1,lakuch
292,Laruat,76.0,88.2,0.6,0.3,9.6,0.5,0.8,43.0,30.0,20.0,1.3,559.0,0.0,,,0.0,0,0,1,1,laruat
293,"Mango, Ripe",74.0,81.0,0.6,0.4,16.9,0.4,0.7,74.0,14.0,16.0,1.3,2743.0,16.0,0.8,0.09,0.9,0,1,0,0,mango ripe
294,"Mango, Ripe / Bombay",,77.75,1.2,0.03,21.0,0.2,0.07,89.0,,,,,,,,,0,1,0,0,mango ripe bombay
295,"Mango, Ripe / Malda",,80.07,1.4,0.09,17.9,0.24,0.28,78.0,,,,,,,,,0,1,0,0,mango ripe malda
296,"Mango, Ripe / Sukutara",,81.41,1.0,0.17,16.9,0.26,0.17,73.0,,,,,,,,,0,1,0,0,mango ripe sukutara
297,"Mango, Ripe / Dashari",,80.79,1.1,0.06,17.6,0.26,0.18,75.0,,,,,,,,,0,1,0,0,mango ripe dashari
298,"Mango, Ripe / Jarda",,83.32,0.8,0.03,15.0,0.4,0.41,63.0,,,,,,,,,0,1,0,0,mango ripe jarda
299,"Mango, Ripe / Kalkatiya",,79.51,0.4,0.01,19.0,0.42,0.09,80.0,,,,,,,,,0,1,0,0,mango ripe kalkatiya
300,"Mango, Ripe / Fajali",,83.52,0.9,0.15,15.0,0.23,0.1,65.0,,,,,,,,,0,1,0,0,mango ripe fajali
301,"Mango, Ripe / Amrapali",,82.54,1.5,0.09,15.4,0.42,0.08,68.0,,,,,,,,,0,1,0,0,mango ripe amrapali
302,"Mango, Ripe / Chausa",,80.57,0.77,0.08,17.8,0.42,0.34,75.0,,,,,,,,,0,1,0,0,mango ripe chausa
303,"Mango, Ripe / Mallika",,81.44,0.61,0.09,17.4,0.46,0.04,73.0,,,,,,,,,0,1,0,0,mango ripe mallika
304,"Mahua, ripe",,73.6,1.4,1.6,22.7,0.7,1.5,111.0,45.0,22.0,0.23,307.0,40.0,,,,0,0,1,1,mahua ripe
305,Mulberry,100.0,86.5,1.1,0.4,10.3,0.6,1.1,49.0,70.0,30.0,2.3,57.0,12.0,0.04,0.13,0.5,0,1,0,0,mulberry
306,Melon water,78.0,95.8,0.2,0.2,3.3,0.3,0.2,16.0,11.0,12.0,7.9,0.0,1.0,0.2,0.04,0.1,0,1,0,0,melon water
307,Neem fruit,,81.9,1.3,1.0,15.1,1.0,0.7,75.0,25.0,41.0,,,,,,,0,1,0,0,neem fruit
308,Junar,,87.51,4.8,0.05,11.9,,1.5,48.0,,,,,,,,,0,1,0,0,junar
309,Orange,67.0,87.6,0.7,0.2,10.9,0.3,0.3,48.0,26.0,20.0,0.32,1104.0,30.0,,,,0,1,0,0,orange
310,Orange juice,,97.7,0.2,0.1,1.9,0.1,1.5,9.0,5.0,9.0,0.7,15.0,64.0,0.06,0.02,0.4,0,1,0,0,orange juice
311,Papaya   (ripe),75.0,90.8,0.6,0.1,7.2,0.5,0.8,32.0,17.0,13.0,0.5,666.0,57.0,0.4,0.25,0.2,0,1,0,0,papaya ripe
312,Persimon with peel,,81.96,0.7,0.138,17.9,,0.57,129.0,10.71,35.9,0.29,,46.0,,,,0,1,0,0,persimon with peel
313,Persimon without peel,,83.28,0.9,0.11,17.9,,0.85,129.0,11.14,25.5,0.27,,34.6,,,,0,1,0,0,persimon without peel
314,Peaches,88.0,86.0,1.2,0.3,10.5,0.8,1.2,50.0,15.0,41.0,2.4,0.0,6.0,0.02,0.03,0.5,0,1,0,0,peaches
315,Phalsa,59.0,80.8,1.3,0.9,14.7,1.1,1.2,72.0,129.0,39.0,3.1,419.0,22.0,,,0.3,0,1,0,0,phalsa
316,Pinapple,60.0,87.8,0.4,0.1,10.8,0.4,0.5,46.0,20.0,9.0,2.42,18.0,39.0,0.2,0.12,0.1,0,1,0,0,pinapple
317,Pipal tree figs,,62.4,2.6,1.7,21.2,2.3,9.9,110.0,289.0,89.0,,,,,,,0,1,0,0,pipal tree figs
318,Plums,90.0,86.9,0.7,0.5,11.1,0.4,0.4,52.0,10.0,12.0,0.6,166.0,5.0,0.04,0.1,0.3,0,1,0,0,plums
319,Pomegranate,68.0,78.0,1.6,0.1,14.5,0.7,5.1,65.0,10.0,70.0,1.79,0.0,16.0,0.06,0.1,0.3,0,1,0,0,pomegranate
320,Pummelo,,88.0,0.6,0.1,10.2,0.5,0.6,44.0,30.0,30.0,0.3,120.0,20.0,0.03,0.03,0.2,0,1,0,0,pummelo
321,Pear,,86.0,0.6,0.2,11.9,0.3,1.0,52.0,8.0,15.0,0.5,28.0,0.0,0.06,0.03,0.2,0,1,0,0,pear
322,Pani amala,100.0,92.2,2.6,0.14,3.4,0.37,1.26,26.0,29.3,,,,,,,,0,1,0,0,pani amala
323,Raspbery,,84.8,1.0,0.6,11.7,0.9,1.1,56.0,40.0,110.0,2.3,1248.0,30.0,,,0.8,0,1,0,0,raspbery
324,Red rapsberry( kafal),,83.12,1.72,0.1,8.2,0.43,6.43,41.0,,,,,,,,,0,1,0,0,red rapsberry kafal
325,Rayan,,68.6,0.0,9.6,27.7,4.5,1.5,134.0,83.0,17.0,0.9,495.0,16.0,0.07,0.08,0.4,0,1,0,0,rayan
326,Rose sppple,100.0,89.1,0.7,0.2,8.5,0.3,1.2,39.0,10.0,30.0,0.5,141.0,3.0,0.01,0.05,0.4,0,0,1,1,rose sppple
327,Seethphal,45.0,70.5,1.6,0.4,23.5,0.9,3.1,104.0,17.0,47.0,4.31,0.0,37.0,0.07,0.17,1.3,0,0,1,1,seethphal
328,Strawberry,96.0,87.8,0.7,0.2,9.8,0.4,1.1,44.0,30.0,30.0,1.8,18.0,52.0,0.03,0.02,0.2,0,1,0,0,strawberry
329,Sapota,83.0,73.7,0.7,1.1,21.4,0.5,2.6,98.0,28.0,27.0,1.25,97.0,6.0,0.02,0.03,0.2,0,1,0,0,sapota
330,Wood apple,,64.2,7.1,3.7,18.1,1.9,5.0,134.0,130.0,110.0,0.48,61.0,3.0,0.04,0.17,0.8,0,1,0,0,wood apple
331,Zizyphus,,81.6,0.8,0.3,17.0,0.3,1.5,74.0,4.0,9.0,0.5,21.0,76.0,0.02,0.05,0.7,0,1,0,0,zizyphus
332,Asafoetida,,16.0,4.0,1.1,67.7,7.0,4.1,297.0,690.0,50.0,39.4,4.0,0.0,,,,4,0,0,0,asafoetida
333,Anise (Sounf),,2.2,17.5,3.4,60.0,4.0,13.5,341.0,1163.0,335.0,3.8,,,0.0,0.0,0.0,3,0,0,0,anise sounf
334,Arithippilli Arisithipplli,,12.5,13.2,4.7,58.0,6.0,5.2,329.0,460.0,325.0,13.5,,,,,,4,0,1,1,arithippilli arisithipplli
335,Betal nut ( Supari),,11.5,4.7,10.2,66.1,1.6,13.2,375.0,295.0,105.0,4.5,,,0.21,0.4,1.3,3,0,1,1,betal nut supari
336,Cinnamon,,8.8,6.1,1.9,64.6,4.2,26.5,259.0,415.0,69.0,15.0,0.0,0.0,,,,3,0,0,0,cinnamon
337,Cardamom,,20.0,10.2,2.2,42.1,5.4,20.1,229.0,130.0,160.0,4.6,0.0,0.0,0.22,0.17,0.8,3,0,0,0,cardamom
338,"Chilliy, dry",,10.0,15.9,6.2,31.6,6.1,30.2,246.0,160.0,370.0,2.3,345.0,50.0,0.93,0.43,9.5,3,0,1,1,chilliy dry
339,"Chilliy, green",90.0,85.7,2.9,0.6,3.0,1.0,6.8,29.0,30.0,80.0,4.4,175.0,111.0,0.19,0.39,0.9,0,0,1,1,chilliy green
340,"Cloves, dry",100.0,25.2,5.2,8.9,46.0,5.2,9.5,286.0,740.0,100.0,11.7,253.0,0.0,0.08,0.13,0.0,4,0,0,0,cloves dry
341,"Coriander, dry",,11.2,14.4,16.1,21.6,4.4,32.6,288.0,630.0,393.0,7.1,942.0,0.0,0.22,0.35,1.1,3,0,0,0,coriander dry
342,Cumin seed,,11.9,18.7,15.0,36.6,5.8,12.0,356.0,1080.0,511.0,11.7,522.0,3.0,0.55,0.36,2.6,3,0,0,0,cumin seed
343,Fenμgreek seed,,13.7,26.2,5.8,44.1,3.0,7.2,333.0,160.0,370.0,6.5,96.0,0.0,0.34,0.29,1.1,1,0,1,1,fen greek seed
